address,bedroom,toilet,investor,acreage,price,lat,long,distance
Cầu Giấy,1.0,1.0,tân hoàng minh group,38.0,39.47368421052632,21.0058059692383,105.794372558594,6.563943634959253
Tây Hồ,3.0,3.0,tân hoàng minh group,111.0,60.0,21.064899444580103,105.827049255371,4.8020778810573805
Nam Từ Liêm,2.0,2.0,công ty cổ phần tập đoàn flc,49.0,12.0,20.991436004638697,105.756065368652,10.853805571421962
Nam Từ Liêm,4.0,3.0,tập đoàn vingroup,156.0,54.48717948717949,21.0190830230713,105.781730651855,7.433990768186256
Thanh Xuân,3.0,2.0,other,174.0,37.5,21.005578994751,105.803749084473,5.691670518237313
Bắc Từ Liêm,3.0,3.0,other,133.0,12.030075187969926,21.047119140625,105.781364440918,7.664309736975253
Tây Hồ,3.0,2.0,công ty tnhh phát triển khu đô thị nam thăng long,145.0,32.0,21.072135925293,105.810997009277,6.462685103642633
Hà Đông,2.0,2.0,công ty cp tập đoàn nam cường hà nội,80.0,22.5,20.9830436706543,105.757339477539,11.128207460763427
Hai Bà Trưng,1.0,2.0,tập đoàn vingroup,53.0,26.0,20.99479103088379,105.86784362792967,4.116973104094032
Tây Hồ,3.0,2.0,other,91.0,51.0,21.055467605590803,105.795883178711,6.584325353784045
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,64.5,32.55813953488372,21.0065288543701,105.753555297852,10.578458375098457
Tây Hồ,2.0,2.0,other,87.0,21.5,21.0833492279053,105.810729980469,7.455282736704558
Long Biên,2.0,2.0,other,63.6,23.6,21.0577354431152,105.913352966309,7.0909498352165405
Nam Từ Liêm,2.0,1.0,công ty cổ phần tập đoàn flc,55.0,12.0,20.991436004638697,105.756065368652,10.853805571421962
Hai Bà Trưng,1.0,1.0,tập đoàn vingroup,53.0,26.0,20.9947910308838,105.86784362793,4.116973104094032
Thanh Xuân,3.0,2.0,other,85.0,24.0,20.9906997680664,105.814277648926,5.8179265296093226
Hà Đông,2.0,2.0,công ty cp tập đoàn nam cường hà nội,75.0,26.66666666666667,20.9830436706543,105.757339477539,11.128207460763427
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,107.0,34.0,21.0197982788086,105.780708312988,7.527949821012995
Thanh Xuân,3.0,3.0,tập đoàn vingroup,188.0,42.5531914893617,21.002666473388697,105.8154296875,4.833123138746107
Tây Hồ,3.0,4.0,tân hoàng minh group,88.0,60.0,21.064899444580103,105.827049255371,4.8020778810573805
Thanh Xuân,3.0,2.0,other,85.0,24.0,20.9906997680664,105.814277648926,5.8179265296093226
Hai Bà Trưng,3.0,2.0,tập đoàn vingroup,95.0,30.52631578947368,20.994333267211896,105.867561340332,4.152857196946919
Gia Lâm,2.0,2.0,other,28.0,30.35714285714285,21.0024147033691,105.964111328125,11.966388708428244
Bắc Từ Liêm,4.0,3.0,other,171.0,36.0,21.0640485187096,105.795997394154,7.055248598279975
Hoàng Mai,2.0,1.0,other,60.0,23.33333333333333,20.9565887451172,105.844886779785,8.087054427552438
Thanh Xuân,3.0,2.0,other,90.0,32.0,20.998046875,105.80354309082,6.137425589905641
Gia Lâm,3.0,2.0,other,74.0,31.08108108108108,21.0024147033691,105.964111328125,11.966388708428244
Thanh Xuân,2.0,2.0,other,77.0,29.87012987012988,20.9860496520996,105.798133850098,7.393198144383389
Cầu Giấy,2.0,2.0,other,76.0,30.0,21.0322113037109,105.799697875977,5.498706753728055
Hai Bà Trưng,1.0,1.0,tập đoàn vingroup,55.0,26.0,20.9947910308838,105.86784362793,4.116973104094032
Bắc Từ Liêm,2.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,72.0,25.0,21.0495662689209,105.778594970703,8.016016166896572
Thạch Thất,2.0,2.0,other,65.9,13.2,21.0107879638672,105.506408691406,36.01862278969889
Bắc Từ Liêm,3.0,2.0,other,92.0,23.0,21.08515008984769,105.788479804992,9.135324056920725
Thanh Xuân,2.0,2.0,other,84.0,34.52380952380953,20.9824143260389,105.810934588855,6.7395883704957305
Bắc Từ Liêm,2.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,73.0,25.0,21.0495662689209,105.778594970703,8.016016166896572
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,100.0,45.0,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,65.0,40.0,21.0190830230713,105.781730651855,7.433990768186256
Tây Hồ,3.0,2.0,công ty tnhh phát triển khu đô thị nam thăng long,119.0,32.0,21.072135925293,105.810997009277,6.462685103642633
Hai Bà Trưng,1.0,1.0,tập đoàn vingroup,53.0,26.0,20.9947910308838,105.86784362793,4.116973104094032
Long Biên,2.0,2.0,other,71.0,25.0,21.0409755706787,105.913665771484,6.495931754276251
Nam Từ Liêm,3.0,2.0,other,94.0,20.79787234042553,20.98817780000001,105.7931517,7.653340763475207
Nam Từ Liêm,1.0,1.0,tập đoàn vingroup,50.0,43.6,21.0190830230713,105.781730651855,7.433990768186256
Long Biên,2.0,2.0,other,70.0,28.3,21.0457458496094,105.86637878418,2.3665088983073903
Thanh Xuân,2.0,2.0,other,77.4,24.0,20.9855403900146,105.798942565918,7.366195994422775
Bắc Từ Liêm,3.0,2.0,công ty cp tập đoàn sunshine,97.0,37.62886597938145,21.0919170379639,105.785003662109,9.919088412159454
Hoàng Mai,3.0,2.0,other,94.3,25.980911983032875,20.9797115325928,105.844833374023,5.5319658376059255
Hà Đông,2.0,2.0,other,68.0,14.5,20.9819164276123,105.742492675781,12.57099244724554
Hai Bà Trưng,3.0,2.0,tập đoàn vingroup,161.0,77.63975155279503,21.0115528106689,105.849258422852,1.9589890064102569
Đống Đa,4.0,3.0,tập đoàn vingroup,167.0,54.0,21.0229530334473,105.809814453125,4.48421079148588
Bắc Từ Liêm,3.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,113.0,25.0,21.0495662689209,105.778594970703,8.016016166896572
Hai Bà Trưng,1.0,2.0,tập đoàn vingroup,53.0,26.0,20.9947910308838,105.86784362793,4.116973104094032
Gia Lâm,1.0,2.0,other,46.0,25.869565217391305,21.0024147033691,105.964111328125,11.966388708428244
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,107.0,34.5,21.0197982788086,105.780708312988,7.527949821012995
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,100.0,28.0,21.0365676879883,105.760482788086,9.598783261808332
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,107.0,34.57943925233645,21.0197982788086,105.780708312988,7.527949821012995
Nam Từ Liêm,4.0,3.0,tập đoàn vingroup,170.0,56.47058823529412,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,3.0,2.0,tập đoàn vingroup,100.0,45.0,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,2.0,1.0,other,54.0,32.407407407407405,20.9992771148682,105.73811340332,12.33492902005939
Cầu Giấy,2.0,2.0,other,100.0,17.5,21.0416549,105.7932017,6.322790354600669
Tây Hồ,3.0,3.0,other,97.57,26.0,21.0810070037842,105.818092346191,6.814360270004972
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,66.0,44.6969696969697,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,3.0,2.0,other,94.0,36.17021276595744,21.029411315918,105.768753051758,8.70176637734733
Nam Từ Liêm,1.0,2.0,tập đoàn vingroup,50.0,43.6,21.0190830230713,105.781730651855,7.433990768186256
Nam Từ Liêm,1.0,2.0,tập đoàn vingroup,37.0,40.54054054054054,21.0197982788086,105.780708312988,7.527949821012995
Hà Đông,3.0,2.0,other,85.68,14.5,20.9819164276123,105.742492675781,12.57099244724554
Hai Bà Trưng,2.0,2.0,other,80.0,32.5,20.9984378814697,105.866737365723,3.698523392708745
Thanh Trì,4.0,3.0,other,141.0,16.0,20.9326725006104,105.850074768066,10.713507468163096
Ba Đình,1.0,2.0,tập đoàn vingroup,55.0,64.0,21.0317993164063,105.814193725586,3.9932741062709183
Thanh Trì,2.0,2.0,other,70.0,15.0,20.9461421966553,105.855453491211,9.2162475303819
Thanh Xuân,2.0,2.0,other,42.0,22.85714285714285,20.9898638136009,105.820247106858,5.48681930352721
Bắc Từ Liêm,3.0,3.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,139.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Nam Từ Liêm,3.0,2.0,other,98.0,27.0,21.033765792846697,105.770301818848,8.55776169608981
Nam Từ Liêm,2.0,1.0,other,59.0,18.0,21.0365009307861,105.754997253418,10.165976460873177
Bắc Từ Liêm,3.0,3.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,139.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Nam Từ Liêm,3.0,2.0,other,98.0,27.0,21.033765792846697,105.770301818848,8.55776169608981
Nam Từ Liêm,2.0,2.0,other,63.0,17.0,21.0365009307861,105.754997253418,10.165976460873177
Bắc Từ Liêm,3.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,104.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,62.0,37.8,20.998958587646506,105.788032531738,7.481847300208964
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,43.0,30.0,21.00373442191357,105.75647890567824,10.363219708628328
Thanh Xuân,2.0,2.0,other,84.0,42.0,21.0000820159912,105.828033447266,4.092285023288113
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,86.0,28.0,21.0365676879883,105.760482788086,9.598783261808332
Bắc Từ Liêm,3.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,106.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Cầu Giấy,2.0,2.0,công ty cp đầu tư văn phú - invest,70.0,26.4,21.0160980224609,105.792488098145,6.396199747107347
Hà Đông,3.0,2.0,other,107.0,36.0,20.9641799926758,105.756004333496,12.347270533790624
Hoàng Mai,2.0,2.0,other,56.9,19.0,20.9800987243652,105.874244689941,5.882530062009379
Long Biên,2.0,2.0,other,72.0,25.0,21.0409755706787,105.913665771484,6.495931754276251
Thanh Xuân,3.0,2.0,other,110.0,29.0,20.9947719573975,105.806129455566,6.135333850019758
Nam Từ Liêm,2.0,2.0,other,79.0,30.0,21.012432098388697,105.767395019531,9.0309361915427
Hoàng Mai,3.0,2.0,other,90.0,18.88888888888889,20.9837408,105.8500372,5.032278991429067
Cầu Giấy,2.0,1.0,other,64.71,29.36176788749807,21.0324401855469,105.778594970703,7.689056134374567
Cầu Giấy,3.0,2.0,other,157.9,38.0,21.0044841766357,105.798629760742,6.222152995588278
Cầu Giấy,2.0,2.0,other,127.7,38.0,21.0044841766357,105.798629760742,6.222152995588278
Bắc Từ Liêm,2.0,2.0,công ty tnhh thương mại - quảng cáo - xây dựng - địa ốc việt hân,123.0,25.0,21.0403366088867,105.767585754395,8.914089615411918
Tây Hồ,2.0,2.0,tân hoàng minh group,88.0,60.0,21.064899444580103,105.827049255371,4.8020778810573805
Bắc Từ Liêm,2.0,2.0,other,64.45,16.0,21.0681209564209,105.783302307129,8.411477858087958
Đống Đa,2.0,2.0,other,40.0,31.25,21.0157884,105.8120464,4.449233761626457
Đống Đa,2.0,2.0,other,43.0,32.55813953488372,21.0097185,105.8246999,3.5914640670410707
Bắc Từ Liêm,3.0,2.0,other,86.0,23.255813953488367,21.0739707946777,105.790870666504,8.134887838741724
Hoàng Mai,3.0,2.0,other,85.0,18.0,20.9605541229248,105.845962524414,7.637122018382692
Nam Từ Liêm,2.0,2.0,tập đoàn vingroup,53.0,37.8,20.998958587646506,105.788032531738,7.481847300208964
Tây Hồ,4.0,2.0,công ty tnhh phát triển khu đô thị nam thăng long,153.0,32.0,21.0786231597443,105.804903030395,7.422927035037527
Ba Đình,3.0,3.0,other,120.0,60.0,21.0444717407227,105.845626831055,1.8758666411584783
Cầu Giấy,2.0,2.0,công ty cp đầu tư văn phú - invest,71.0,26.4,21.0160980224609,105.792488098145,6.396199747107347
Tây Hồ,4.0,2.0,công ty tnhh phát triển khu đô thị nam thăng long,153.0,32.0,21.0786231597443,105.804903030395,7.422927035037527
Ba Đình,3.0,3.0,other,120.0,60.0,21.0444717407227,105.845626831055,1.8758666411584783
Bắc Từ Liêm,2.0,2.0,other,74.5,28.187919463087248,21.047119140625,105.781364440918,7.664309736975253
Thanh Xuân,2.0,2.0,other,68.0,24.0,20.9855403900146,105.798942565918,7.366195994422775
Hoài Đức,3.0,2.0,other,100.0,18.0,21.0096874237061,105.72159576416,13.76917932512419
Tây Hồ,4.0,4.0,other,182.0,34.615384615384606,21.0767438,105.8147711,6.613641039134884
Cầu Giấy,2.0,2.0,tân hoàng minh group,72.0,38.888888888888886,21.0058059692383,105.794372558594,6.563943634959253
Hoài Đức,2.0,2.0,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,65.0,14.0,21.0083923339844,105.730247497559,12.906590138861976
